batch,x,y,z,brand,model,angle,sampleNumber,30:23:03:87:17:80#1,30:23:03:87:17:81#1,30:23:03:87:17:82#1,30:23:03:87:17:98#1,30:23:03:87:17:99#1,30:23:03:87:17:9a#1,30:23:03:87:19:6c#1,30:23:03:87:19:6d#1,30:23:03:87:19:6e#1,36:23:03:87:17:80#1,36:23:03:87:17:98#1,36:23:03:87:19:6c#1,58:cb:52:d7:b4:d9#1,58:cb:52:d7:b5:31#1,58:cb:52:d7:b5:5d#1,58:cb:52:d7:bb:61#1,c4:41:1e:fa:08:88#1,c4:41:1e:fa:08:89#1,c4:41:1e:fa:08:8a#1,ca:41:1e:fa:08:88#1
cd042a82dbaa9dd1bf52c8a7920d7296,4.8000,4.0000,0.0000,google,Pixel 3a,1.00,29,19.282000000000,3.394000000000,3.510000000000,23.044000000000,4.888000000000,5.043000000000,29.457000000000,13.207000000000,21.083000000000,-100,-100,-100,13.492000000000,3.095000000000,4.423000000000,13.876000000000,19.444000000000,4.416000000000,1.693000000000,19.594000000000
cd042a82dbaa9dd1bf52c8a7920d7296,4.8000,4.0000,0.0000,google,Pixel 3a,1.00,30,19.920000000000,3.019000000000,3.334000000000,22.732000000000,4.935000000000,4.984000000000,30.069000000000,13.201000000000,13.099000000000,-100,23.044000000000,-100,13.525000000000,3.976000000000,4.501000000000,13.626000000000,19.057000000000,4.382000000000,1.674000000000,-100
cd042a82dbaa9dd1bf52c8a7920d7296,4.8000,4.0000,0.0000,google,Pixel 3a,1.00,31,19.648000000000,3.241000000000,3.373000000000,23.044000000000,5.007000000000,5.101000000000,29.132000000000,13.254000000000,12.748000000000,-100,22.929000000000,-100,13.551000000000,3.939000000000,4.454000000000,13.876000000000,19.282000000000,4.104000000000,1.674000000000,-100
cd042a82dbaa9dd1bf52c8a7920d7296,4.8000,4.0000,0.0000,google,Pixel 3a,1.00,32,19.920000000000,3.254000000000,3.471000000000,22.582000000000,5.119000000000,4.896000000000,29.604000000000,13.129000000000,20.863000000000,-100,-100,-100,13.408000000000,3.948000000000,4.329000000000,13.664000000000,19.132000000000,4.254000000000,1.693000000000,-100
cd042a82dbaa9dd1bf52c8a7920d7296,4.8000,4.0000,0.0000,google,Pixel 3a,1.00,33,19.291000000000,3.238000000000,3.178000000000,22.894000000000,4.973000000000,4.994000000000,29.716000000000,13.163000000000,21.039000000000,-100,-100,-100,13.522000000000,3.857000000000,4.295000000000,13.951000000000,20.082000000000,4.148000000000,1.928000000000,-100
cd042a82dbaa9dd1bf52c8a7920d7296,4.8000,4.0000,0.0000,google,Pixel 3a,1.00,34,20.351000000000,3.213000000000,-100,22.807000000000,5.110000000000,4.999000000000,29.838000000000,13.282000000000,12.787000000000,-100,-100,-100,13.520000000000,3.854000000000,4.386000000000,13.661000000000,19.757000000000,4.410000000000,1.791000000000,-100
cd042a82dbaa9dd1bf52c8a7920d7296,4.8000,4.0000,0.0000,google,Pixel 3a,1.00,35,18.823000000000,3.094000000000,3.490000000000,22.573000000000,5.123000000000,4.935000000000,29.604000000000,13.210000000000,21.215000000000,-100,-100,-100,13.520000000000,3.976000000000,4.326000000000,13.698000000000,-100,4.363000000000,1.596000000000,-100
cd042a82dbaa9dd1bf52c8a7920d7296,4.8000,4.0000,0.0000,google,Pixel 3a,1.00,36,20.070000000000,3.319000000000,3.334000000000,23.032000000000,5.044000000000,4.857000000000,29.491000000000,13.245000000000,20.907000000000,-100,-100,-100,13.445000000000,3.976000000000,4.342000000000,13.914000000000,20.070000000000,4.388000000000,1.537000000000,-100
cd042a82dbaa9dd1bf52c8a7920d7296,4.8000,4.0000,0.0000,google,Pixel 3a,1.00,37,18.823000000000,3.560000000000,3.353000000000,22.882000000000,4.969000000000,5.072000000000,29.482000000000,13.285000000000,12.475000000000,-100,-100,-100,13.581000000000,3.911000000000,4.329000000000,13.914000000000,18.982000000000,4.144000000000,1.674000000000,-100
cd042a82dbaa9dd1bf52c8a7920d7296,4.8000,4.0000,0.0000,google,Pixel 3a,1.00,38,19.179000000000,3.394000000000,3.451000000000,22.569000000000,5.010000000000,5.204000000000,29.595000000000,13.313000000000,13.105000000000,19.594000000000,-100,-100,13.464000000000,3.913000000000,4.461000000000,13.692000000000,18.982000000000,4.185000000000,1.654000000000,-100
cd042a82dbaa9dd1bf52c8a7920d7296,4.8000,4.0000,0.0000,google,Pixel 3a,1.00,39,19.526000000000,3.091000000000,3.217000000000,22.929000000000,5.082000000000,4.926000000000,29.604000000000,13.126000000000,12.885000000000,-100,-100,-100,13.558000000000,3.918000000000,4.386000000000,13.867000000000,19.594000000000,4.535000000000,1.674000000000,-100
cd042a82dbaa9dd1bf52c8a7920d7296,4.8000,4.0000,0.0000,google,Pixel 3a,1.00,40,19.995000000000,3.238000000000,3.314000000000,22.882000000000,4.969000000000,5.028000000000,30.063000000000,13.401000000000,20.204000000000,-100,-100,-100,13.464000000000,3.976000000000,4.501000000000,13.826000000000,19.132000000000,4.219000000000,1.615000000000,-100
